"";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc"
"107";"O43324";"O43324";"MCA3_HUMAN";"Eukaryotic translation elongation factor 1 epsilon-1";"EEF1E1";"2";"2";"2.11011323605054E-4";"0";"2";"0";"2";"0";"8.82777475801384E-4";"0";"nucleus, cytosol"
"108";"O43390";"O43390-1";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";"11";"24";"0.00116006225299461";"10";"3";"21";"3";"0";"0";"18";"nucleoplasm, cytoplasm, catalytic step 2 spliceosome"
"109";"O43395";"O43395";"PRPF3_HUMAN";"U4/U6 small nuclear ribonucleoprotein Prp3";"PRPF3";"2";"3";"8.06353667070558E-5";"2";"0";"3";"0";"1.62087065473666E-4";"0";"0";"cytoplasm, Cajal body, nuclear speck, spliceosomal complex, U4/U6 x U5 tri-snRNP complex"
"110";"O43432";"O43432-1,O43432-3";"IF4G3_HUMAN";"Eukaryotic translation initiation factor 4 gamma 3";"EIF4G3";"1";"1";"1.54431000240923E-5";"0";"1";"0";"1";"0";"0";"5";"cytosol, eukaryotic translation initiation factor 4F complex"
"111";"O43497";"O43497-8";"CAC1G_HUMAN";"Voltage-dependent T-type calcium channel subunit alpha-1G";"CACNA1G";"2";"3";"2.31695227012701E-5";"2";"0";"3";"0";"0";"0";"0";"voltage-gated calcium channel complex"
"112";"O43497";"O43497-5";"CAC1G_HUMAN";"Voltage-dependent T-type calcium channel subunit alpha-1G";"CACNA1G";"3";"4";"3.08926969350269E-5";"3";"0";"4";"0";"0";"0";"0";"voltage-gated calcium channel complex"
"113";"O43593";"O43593-2";"HAIR_HUMAN";"Protein hairless";"HR";"2";"2";"3.08797058934226E-5";"0";"2";"0";"2";"0";"0";"0";"nuclear body, nucleus"
"114";"O43670";"O43670-3";"ZN207_HUMAN";"Zinc finger protein 207";"ZNF207";"1";"2";"1.53623306725018E-4";"1";"0";"2";"0";"0";"0";"4";"nucleus"
"115";"O43670";"O43670-1,O43670-2";"ZN207_HUMAN";"Zinc finger protein 207";"ZNF207";"1";"2";"7.68116533625092E-5";"1";"0";"2";"0";"0";"0";"4";"nucleus"
"116";"O43684";"O43684-1,O43684-2";"BUB3_HUMAN";"Mitotic checkpoint protein BUB3";"BUB3";"6";"9";"2.51862601193228E-4";"6";"0";"9";"0";"0";"0";"0";"nucleus, condensed chromosome kinetochore, cytosol, kinetochore"
"117";"O43699";"O43699-1,O43699-3";"SIGL6_HUMAN";"Sialic acid-binding Ig-like lectin 6";"SIGLEC6";"3";"7";"1.41838737390152E-4";"3";"0";"7";"0";"0";"0";"0";"extracellular region, integral component of plasma membrane"
"118";"O43707";"O43707";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";"6";"9";"2.86629937151238E-4";"3";"4";"4";"5";"2.59244412952246E-4";"6.67412718395394E-4";"7";"platelet alpha granule lumen, protein complex, nucleus, neuron projection, Z disc, extracellular vesicular exosome, cell-cell junction, stress fiber, cortical cytoskeleton, ribonucleoprotein complex, perinuclear region of cytoplasm, pseudopodium"
"119";"O43719";"O43719";"HTSF1_HUMAN";"HIV Tat-specific factor 1";"HTATSF1";"4";"4";"9.72608484961044E-5";"0";"4";"0";"4";"0";"4.06896108051499E-4";"0";"nucleus"
"120";"O43736";"O43736-1,O43736-2";"ITM2A_HUMAN";"Integral membrane protein 2A";"ITM2A";"7";"16";"5.58417799350257E-4";"7";"0";"16";"0";"0";"0";"0";"integral component of membrane"
"121";"O43776";"O43776";"SYNC_HUMAN";"Asparagine--tRNA ligase, cytoplasmic";"NARS";"11";"35";"0.00117249905178356";"11";"6";"20";"15";"0.00134678182139311";"0.00210223468233724";"0";"mitochondrion, extracellular vesicular exosome, cytosol"
"122";"O43809";"O43809";"CPSF5_HUMAN";"Cleavage and polyadenylation specificity factor subunit 5";"NUDT21";"6";"15";"0.00121308271940351";"4";"4";"9";"6";"0.00146306782887904";"0.00202999930558732";"0";"centrosome, mRNA cleavage factor complex, paraspeckles"
"123";"O60231";"O60231";"DHX16_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16";"DHX16";"2";"2";"3.52699042336978E-5";"2";"0";"2";"0";"7.08968720579659E-5";"0";"0";"nucleus"
"124";"O60241";"O60241-4";"BAI2_HUMAN";"Brain-specific angiogenesis inhibitor 2";"BAI2";"2";"2";"2.8955812545173E-5";"0";"2";"0";"2";"0";"0";"1";"plasma membrane, integral component of membrane"
"125";"O60244";"O60244";"MED14_HUMAN";"Mediator of RNA polymerase II transcription subunit 14";"MED14";"3";"3";"3.78775484600544E-5";"3";"0";"3";"0";"7.61385596413437E-5";"0";"0";"mediator complex"
"126";"O60264";"O60264";"SMCA5_HUMAN";"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5";"SMARCA5";"5";"7";"1.58800061690229E-4";"5";"2";"5";"2";"2.41159720156775E-4";"1.46010723183879E-4";"3";"chromatin silencing complex, nucleolus, NURF complex, RSF complex, nucleoplasm, condensed chromosome"
"127";"O60271";"O60271-2";"JIP4_HUMAN";"C-Jun-amino-terminal kinase-interacting protein 4";"SPAG9";"3";"3";"4.16911093572439E-5";"3";"0";"3";"0";"0";"0";"0";"perinuclear region of cytoplasm, acrosomal vesicle, integral component of membrane, cytosol, extracellular vesicular exosome"
"128";"O60312";"O60312";"AT10A_HUMAN";"Probable phospholipid-transporting ATPase VA";"ATP10A";"2";"2";"2.44936426332751E-5";"2";"0";"2";"0";"4.9235252710035E-5";"0";"0";"endoplasmic reticulum, plasma membrane, integral component of membrane, endoplasmic reticulum membrane"
"129";"O60313";"O60313-1";"OPA1_HUMAN";"Dynamin-like 120 kDa protein, mitochondrial";"OPA1";"3";"3";"5.73687036051241E-5";"3";"0";"3";"0";"0";"0";"0";"integral component of membrane, mitochondrial intermembrane space, dendrite, mitochondrial crista, mitochondrial outer membrane"
"130";"O60333";"O60333-2";"KIF1B_HUMAN";"Kinesin-like protein KIF1B";"KIF1B";"2";"2";"2.02180453233918E-5";"0";"2";"0";"2";"0";"0";"0";"cytoplasmic vesicle membrane, mitochondrion, microtubule, kinesin complex, neuron projection, microtubule associated complex"
"131";"O60343";"O60343-2";"TBCD4_HUMAN";"TBC1 domain family member 4";"TBC1D4";"2";"2";"2.82865718854233E-5";"0";"2";"0";"2";"0";"0";"0";"cytoplasmic vesicle membrane"
"132";"O60423";"O60423-3";"AT8B3_HUMAN";"Probable phospholipid-transporting ATPase IK";"ATP8B3";"2";"2";"3.25881393259877E-5";"0";"2";"0";"2";"0";"0";"2";"integral component of membrane, acrosomal vesicle"
"133";"O60437";"O60437";"PEPL_HUMAN";"Periplakin";"PPL";"3";"3";"3.13633003763776E-5";"0";"3";"0";"3";"0";"1.31210091790525E-4";"0";"mitochondrion, desmosome, cytoskeleton, plasma membrane, extracellular vesicular exosome, nucleus"
"134";"O60488";"O60488-1,O60488-2";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";"6";"11";"1.80522151905612E-4";"6";"1";"9";"2";"0";"0";"5";"peroxisomal membrane, neuronal cell body, endoplasmic reticulum membrane, extracellular vesicular exosome, mitochondrial outer membrane, integral component of membrane, lipid particle"
"135";"O60502";"O60502-3";"NCOAT_HUMAN";"Bifunctional protein NCOAT";"MGEA5";"2";"2";"4.00829370166806E-5";"2";"0";"2";"0";"0";"0";"0";"cytoplasm, nucleus"
"136";"O60506";"O60506-1,O60506-2";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";"0";"0";"0";"0";"0";"0";"0";"0";"0";"49";"catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm, GAIT complex, histone pre-mRNA 3'end processing complex, endoplasmic reticulum"
"137";"O60506";"O60506-3,O60506-4";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";"1";"4";"5.45140811143394E-4";"1";"1";"2";"2";"0";"0";"45";"catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm, GAIT complex, histone pre-mRNA 3'end processing complex, endoplasmic reticulum"
"138";"O60610";"O60610-2";"DIAP1_HUMAN";"Protein diaphanous homolog 1";"DIAPH1";"6";"9";"1.2989140438896E-4";"6";"0";"9";"0";"0";"0";"0";"mitotic spindle, cytoplasm, ruffle membrane, neuron projection"
"139";"O60669";"O60669";"MOT2_HUMAN";"Monocarboxylate transporter 2";"SLC16A7";"1";"1";"3.84058266812546E-5";"1";"0";"1";"0";"7.7200464238852E-5";"0";"0";"integral component of plasma membrane"
"140";"O60673";"O60673-1";"DPOLZ_HUMAN";"DNA polymerase zeta catalytic subunit";"REV3L";"2";"3";"1.75955129268112E-5";"0";"2";"0";"3";"0";"0";"0";"chromosome, nucleus, zeta DNA polymerase complex"
"141";"O60763";"O60763-1,O60763-2";"USO1_HUMAN";"General vesicular transport factor p115";"USO1";"4";"4";"3.81662893007063E-5";"2";"2";"2";"2";"0";"0";"0";"cytosol, Golgi membrane"
"142";"O60812";"O60812";"HNRCL_HUMAN";"Heterogeneous nuclear ribonucleoprotein C-like 1";"HNRNPCL1";"1";"1";"1.07767011823414E-4";"0";"1";"0";"1";"0";"5.48072519105979E-4";"36";"ribonucleoprotein complex, nucleus"
"143";"O60814";"O60814,P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B2F_HUMAN";"Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-M, Histone H2B type 1-N, Histone H2B type 2-F";"HIST1H2BD, HIST1H2BF,HIST1H2BE,HIST1H2BC,HIST1H2BG,HIST1H2BI, HIST1H2BH, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST2H2BF";"2";"10";"0.00104173984335835";"2";"0";"10";"0";"0.00269231913955406";"0";"71";"nucleus, nucleosome"
"144";"O60840";"O60840-2";"CAC1F_HUMAN";"Voltage-dependent L-type calcium channel subunit alpha-1F";"CACNA1F";"2";"2";"1.85715580714615E-5";"0";"2";"0";"2";"0";"0";"0";"perikaryon, voltage-gated calcium channel complex, photoreceptor outer segment"
"145";"O60841";"O60841";"IF2P_HUMAN";"Eukaryotic translation initiation factor 5B";"EIF5B";"9";"16";"2.4076046103134E-4";"7";"4";"12";"4";"3.62968740060701E-4";"2.5180865703187E-4";"0";"cytosol"
"146";"O60869";"O60869-1,O60869-2";"EDF1_HUMAN";"Endothelial differentiation-related factor 1";"EDF1";"4";"8";"4.96161760909181E-4";"4";"0";"8";"0";"0";"0";"0";"nucleus, cytoplasm, nucleolus"
"147";"O60884";"O60884";"DNJA2_HUMAN";"DnaJ homolog subfamily A member 2";"DNAJA2";"3";"3";"1.33674649176988E-4";"3";"0";"3";"0";"2.68702586695422E-4";"0";"0";"membrane, extracellular vesicular exosome"
"148";"O60934";"O60934";"NBN_HUMAN";"Nibrin";"NBN";"2";"2";"4.86949208319356E-5";"2";"0";"2";"0";"9.78828167272447E-5";"0";"0";"nuclear inclusion body, Mre11 complex, site of double-strand break, replication fork, PML body, nuclear chromosome, telomeric region, nucleolus"
"149";"O60941";"O60941-3";"DTNB_HUMAN";"Dystrobrevin beta";"DTNB";"2";"2";"7.80775551457298E-5";"2";"0";"2";"0";"0";"0";"1";"cytoplasm, synapse"
"150";"O75037";"O75037-1,O75037-2";"KI21B_HUMAN";"Kinesin-like protein KIF21B";"KIF21B";"2";"2";"1.12144075465117E-5";"0";"2";"0";"2";"0";"0";"0";"microtubule, kinesin complex, cytoplasm"
"151";"O75038";"O75038-3";"PLCH2_HUMAN";"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2";"PLCH2";"3";"4";"5.1858715123276E-5";"3";"0";"4";"0";"0";"0";"0";"plasma membrane, cytoplasm"
"152";"O75106";"O75106-2";"AOC2_HUMAN";"Retina-specific copper amine oxidase";"AOC2";"2";"2";"4.85660982900521E-5";"2";"0";"2";"0";"0";"0";"0";"plasma membrane, cytoplasm"
"153";"O75144";"O75144-1,O75144-2";"ICOSL_HUMAN";"ICOS ligand";"ICOSLG";"6";"13";"3.95122197015424E-4";"6";"0";"13";"0";"0";"0";"0";"plasma membrane, integral component of membrane, external side of plasma membrane, integral component of plasma membrane"
"154";"O75150";"O75150-1";"BRE1B_HUMAN";"E3 ubiquitin-protein ligase BRE1B";"RNF40";"3";"3";"5.50189365243947E-5";"3";"0";"3";"0";"0";"0";"0";"neuron projection, HULC complex, cytoplasm, nucleus, plasma membrane"
"155";"O75153";"O75153";"CLU_HUMAN";"Clustered mitochondria protein homolog";"KIAA0664";"1";"1";"2.80488696006718E-5";"0";"1";"0";"1";"0";"1.17343988380016E-4";"1";"cytoplasm"
"156";"O75179";"O75179-2";"ANR17_HUMAN";"Ankyrin repeat domain-containing protein 17";"ANKRD17";"7";"74";"5.49728678233719E-4";"4";"4";"25";"49";"0";"0";"4";"nucleus, cytoplasm"
"157";"O75190";"O75190-3";"DNJB6_HUMAN";"DnaJ homolog subfamily B member 6";"DNAJB6";"2";"2";"1.12625675789201E-4";"2";"0";"2";"0";"0";"0";"0";"nucleus, perinuclear region of cytoplasm, Z disc"
"158";"O75197";"O75197";"LRP5_HUMAN";"Low-density lipoprotein receptor-related protein 5";"LRP5";"3";"5";"5.68358673487298E-5";"0";"3";"0";"5";"0";"2.37775976454243E-4";"0";"endoplasmic reticulum, integral component of membrane, plasma membrane, receptor complex"
"159";"O75309";"O75309-1";"CAD16_HUMAN";"Cadherin-16";"CDH16";"1";"1";"2.95263130738073E-5";"0";"1";"0";"1";"0";"0";"1";"plasma membrane, integral component of membrane"
"160";"O75323";"O75323-1";"NIPS2_HUMAN";"Protein NipSnap homolog 2";"GBAS";"3";"3";"1.92566277835382E-4";"3";"0";"3";"0";"0";"0";"0";"integral component of plasma membrane, mitochondrion"
"161";"O75334";"O75334-1";"LIPA2_HUMAN";"Liprin-alpha-2";"PPFIA2";"2";"2";"2.92092046995063E-5";"0";"2";"0";"2";"0";"0";"0";"cytoplasm, synapse, cell surface, extracellular vesicular exosome"
"162";"O75343";"O75343";"GCYB2_HUMAN";"Guanylate cyclase soluble subunit beta-2";"GUCY1B2";"2";"2";"5.95072452305987E-5";"2";"0";"2";"0";"1.19616926762305E-4";"0";"0";"cytoplasm"
"163";"O75367";"O75367-1,O75367-2,O75367-3";"H2AY_HUMAN";"Core histone macro-H2A.1";"H2AFY";"4";"6";"9.86988449120415E-5";"4";"0";"6";"0";"0";"0";"0";"condensed chromosome, sex chromatin, Barr body, nucleosome"
"164";"O75369";"O75369-8";"FLNB_HUMAN";"Filamin-B";"FLNB";"1";"1";"2.412369345507E-5";"1";"0";"1";"0";"0";"0";"29";"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
"165";"O75369";"O75369-7";"FLNB_HUMAN";"Filamin-B";"FLNB";"5";"6";"1.41309834943961E-4";"3";"2";"4";"2";"0";"0";"26";"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
"166";"O75369";"O75369-4";"FLNB_HUMAN";"Filamin-B";"FLNB";"1";"1";"2.23794575268588E-5";"1";"0";"1";"0";"0";"0";"26";"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
"167";"O75369";"O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";"1";"1";"2.412369345507E-5";"1";"0";"1";"0";"0";"0";"29";"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
"168";"O75369";"O75369-1";"FLNB_HUMAN";"Filamin-B";"FLNB";"1";"1";"2.412369345507E-5";"0";"1";"0";"1";"0";"0";"29";"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
"169";"O75369";"O75369-5";"FLNB_HUMAN";"Filamin-B";"FLNB";"1";"1";"2.23794575268588E-5";"0";"1";"0";"1";"0";"0";"26";"extracellular vesicular exosome, cell cortex, cytosol, plasma membrane, focal adhesion, actin cytoskeleton, integral component of membrane, Z disc, stress fiber"
"170";"O75390";"O75390";"CISY_HUMAN";"Citrate synthase, mitochondrial";"CS";"7";"15";"5.90922268893982E-4";"7";"1";"13";"2";"0.00102944996733954";"3.29620774226268E-4";"0";"mitochondrial matrix, extracellular vesicular exosome"
"171";"O75396";"O75396";"SC22B_HUMAN";"Vesicle-trafficking protein SEC22b";"SEC22B";"2";"3";"2.56157932376368E-4";"2";"0";"3";"0";"5.14909142876808E-4";"0";"0";"Golgi apparatus, melanosome, integral component of membrane, endoplasmic reticulum-Golgi intermediate compartment membrane, endoplasmic reticulum membrane, endoplasmic reticulum-Golgi intermediate compartment"
"172";"O75419";"O75419-1";"CDC45_HUMAN";"Cell division control protein 45 homolog";"CDC45";"2";"11";"3.56780630194411E-4";"2";"2";"5";"6";"0";"0";"0";"nucleoplasm, centrosome, cytoplasm"
"173";"O75473";"O75473-1";"LGR5_HUMAN";"Leucine-rich repeat-containing G-protein coupled receptor 5";"LGR5";"3";"5";"1.01201682214111E-4";"0";"3";"0";"5";"0";"0";"0";"integral component of plasma membrane, trans-Golgi network membrane, Golgi apparatus"
"174";"O75475";"O75475-1,O75475-2,O75475-3";"PSIP1_HUMAN";"PC4 and SFRS1-interacting protein";"PSIP1";"2";"6";"6.92754156741121E-5";"2";"0";"6";"0";"0";"0";"0";"cytosol, nucleoplasm, nuclear heterochromatin, transcriptionally active chromatin, nuclear periphery"
"175";"O75531";"O75531";"BAF_HUMAN";"Barrier-to-autointegration factor";"BANF1";"4";"9";"0.0018564254649748";"4";"0";"9";"0";"0.00373164491186001";"0";"0";"cytosol, chromosome, nucleoplasm"
"176";"O75533";"O75533";"SF3B1_HUMAN";"Splicing factor 3B subunit 1";"SF3B1";"21";"58";"8.16536149471705E-4";"20";"8";"39";"19";"0.00110365878400359";"0.00111904230636479";"0";"U12-type spliceosomal complex, nuclear speck, catalytic step 2 spliceosome, nucleoplasm"
"177";"O75534";"O75534-1,O75534-2";"CSDE1_HUMAN";"Cold shock domain-containing protein E1";"CSDE1";"3";"3";"3.45074908903002E-5";"3";"0";"3";"0";"0";"0";"0";"CRD-mediated mRNA stability complex"
"178";"O75581";"O75581";"LRP6_HUMAN";"Low-density lipoprotein receptor-related protein 6";"LRP6";"3";"3";"3.41438037575444E-5";"3";"0";"3";"0";"6.86332707492336E-5";"0";"0";"plasma membrane, endoplasmic reticulum, cell surface, receptor complex, neuronal cell body, early endosome, synapse, cytoplasmic vesicle, integral component of membrane"
"179";"O75592";"O75592-1";"MYCB2_HUMAN";"Probable E3 ubiquitin-protein ligase MYCBP2";"MYCBP2";"6";"8";"3.16516985407581E-5";"3";"3";"5";"3";"0";"0";"0";"microtubule cytoskeleton, axon, nucleus"
"180";"O75643";"O75643-2";"U520_HUMAN";"U5 small nuclear ribonucleoprotein 200 kDa helicase";"SNRNP200";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"nucleoplasm, catalytic step 2 spliceosome, U5 snRNP"
"181";"O75643";"O75643-1";"U520_HUMAN";"U5 small nuclear ribonucleoprotein 200 kDa helicase";"SNRNP200";"15";"26";"3.09404244162467E-4";"10";"7";"18";"8";"0";"0";"10";"nucleoplasm, catalytic step 2 spliceosome, U5 snRNP"
"182";"O75691";"O75691";"UTP20_HUMAN";"Small subunit processome component 20 homolog";"UTP20";"5";"7";"5.12690588771107E-5";"4";"2";"5";"2";"7.57154591560323E-5";"5.51537812529411E-5";"1";"small-subunit processome, nucleoplasm, preribosome, small subunit precursor, cytoplasm, nucleolus, 90S preribosome"
"183";"O75821";"O75821";"EIF3G_HUMAN";"Eukaryotic translation initiation factor 3 subunit G";"EIF3G";"6";"21";"0.00120474277570761";"6";"4";"12";"9";"0.00138381832148142";"0.00216004613610151";"0";"cytosol, perinuclear region of cytoplasm, eukaryotic 48S preinitiation complex, eukaryotic translation initiation factor 3 complex, nucleus, eukaryotic 43S preinitiation complex"
"184";"O75822";"O75822";"EIF3J_HUMAN";"Eukaryotic translation initiation factor 3 subunit J";"EIF3J";"6";"12";"8.53859774587893E-4";"3";"5";"3";"9";"4.2909095239734E-4";"0.0026791269905135";"0";"eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, eukaryotic translation initiation factor 3 complex, cytosol"
"185";"O75828";"O75828";"CBR3_HUMAN";"Carbonyl reductase [NADPH] 3";"CBR3";"1";"1";"8.83657528454378E-5";"0";"1";"0";"1";"0";"3.69682986256175E-4";"2";"cytosol, extracellular space, nucleus"
"186";"O75901";"O75901";"RASF9_HUMAN";"Ras association domain-containing protein 9";"RASSF9";"1";"1";"4.22022647210108E-5";"0";"1";"0";"1";"0";"1.76555495160277E-4";"0";"endosome, cytosol, trans-Golgi network transport vesicle membrane"
"187";"O75923";"O75923-13";"DYSF_HUMAN";"Dysferlin";"DYSF";"1";"1";"1.17679392010511E-5";"0";"1";"0";"1";"0";"0";"1";"lamellipodium, T-tubule, integral component of membrane, extracellular vesicular exosome, cytoplasmic vesicle membrane"
"188";"O75923";"O75923-7";"DYSF_HUMAN";"Dysferlin";"DYSF";"3";"3";"2.6477863202365E-5";"0";"3";"0";"3";"0";"0";"0";"lamellipodium, T-tubule, integral component of membrane, extracellular vesicular exosome, cytoplasmic vesicle membrane"
"189";"O75923";"O75923-10";"DYSF_HUMAN";"Dysferlin";"DYSF";"1";"1";"1.17679392010511E-5";"0";"1";"0";"1";"0";"0";"1";"lamellipodium, T-tubule, integral component of membrane, extracellular vesicular exosome, cytoplasmic vesicle membrane"
"190";"O75923";"O75923-4";"DYSF_HUMAN";"Dysferlin";"DYSF";"1";"1";"1.17679392010511E-5";"0";"1";"0";"1";"0";"0";"1";"lamellipodium, T-tubule, integral component of membrane, extracellular vesicular exosome, cytoplasmic vesicle membrane"
"191";"O75937";"O75937";"DNJC8_HUMAN";"DnaJ homolog subfamily C member 8";"DNAJC8";"3";"3";"2.17683618422605E-4";"0";"3";"0";"3";"0";"9.10691388079689E-4";"0";"nucleoplasm"
"192";"O75947";"O75947-1";"ATP5H_HUMAN";"ATP synthase subunit d, mitochondrial";"ATP5H";"6";"20";"0.00228049505014158";"6";"2";"15";"5";"0";"0";"0";"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"193";"O75955";"O75955";"FLOT1_HUMAN";"Flotillin-1";"FLOT1";"2";"2";"8.59858789397645E-5";"2";"0";"2";"0";"1.72842257171762E-4";"0";"0";"flotillin complex, melanosome, integral component of membrane, sarcolemma, extracellular vesicular exosome, endosome, lysosomal membrane, caveola, centriolar satellite"
"194";"O75964";"O75964";"ATP5L_HUMAN";"ATP synthase subunit g, mitochondrial";"ATP5L";"3";"6";"0.00106939719341591";"3";"0";"6";"0";"0.00214962069356337";"0";"0";"mitochondrial proton-transporting ATP synthase complex, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"195";"O75970";"O75970-1";"MPDZ_HUMAN";"Multiple PDZ domain protein";"MPDZ";"3";"3";"2.66057755849851E-5";"3";"0";"3";"0";"0";"0";"0";"postsynaptic membrane, cytoplasmic vesicle, apicolateral plasma membrane, postsynaptic density, dendrite, tight junction, cytoplasm, Schmidt-Lanterman incisure, apical plasma membrane"
