"";"X";"AC";"Group";"ID";"Entrez_ID";"Gene_symbol";"Descr";"SP_GN";"Entrez_GN";"Non_spec_binder";"Group_size";"Specific_reporter";"Pc_P4569.1.merged";"Pc_P4569.2.merged";"Pc_grp0";"Pc_mean_grp0";"Pc_sd_grp0";"Pc_CV_grp0";"Sc_P4569.1.merged";"Sc_P4569.2.merged";"Sc_grp0";"Sc_mean_grp0";"Sc_sd_grp0";"Sc_CV_grp0";"Seqcov_P4569.1.merged";"Seqcov_P4569.2.merged";"Seqcov_grp0";"Seqcov_mean_grp0";"Seqcov_sd_grp0";"Seqcov_CV_grp0";"Glob_pc";"Glob_sc";"Glob_seqcov";"Go.Cc"
"252";252;"O14656";"O14656-1";"TOR1A_HUMAN";"1861";"TOR1A";"Torsin-1A";"TOR1A,DQ2,DYT1";NA;0;2;1;13;13;15;"13";"0";"0";21;20;41;"20.5";"0.71";"0.03";"0.43";"0.39";"0.45";"0.41";"0.03";"0.08";15;41;"0.45";"neuron projection, endoplasmic reticulum lumen, extracellular vesicular exosome, cytoplasmic vesicle membrane, nuclear membrane"
"253";253;"O14657";"O14657";"TOR1B_HUMAN";"27348";"TOR1B";"Torsin-1B";"TOR1B,DQ1";NA;0;1;1;6;8;8;"7";"1.41";"0.2";9;11;20;"10";"1.41";"0.14";"0.19";"0.26";"0.26";"0.23";"0.05";"0.22";8;20;"0.26";"endoplasmic reticulum lumen, nuclear envelope, extracellular vesicular exosome"
"255";255;"O14668";"O14668";"TMG1_HUMAN";"5638";"PRRG1";"Transmembrane gamma-carboxyglutamic acid protein 1";"PRRG1,TMG1,PRGP1";NA;0;1;1;1;1;1;"1";"0";"0";1;1;2;"1";"0";"0";"0.1";"0.1";"0.1";"0.1";"0";"0";1;2;"0.1";"integral component of plasma membrane, extracellular region"
"256";256;"O14672";"O14672";"ADA10_HUMAN";"102";"ADAM10";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10,KUZ,MADM";NA;0;1;1;33;35;35;"34";"1.41";"0.04";71;69;140;"70";"1.41";"0.02";"0.54";"0.59";"0.59";"0.57";"0.04";"0.07";35;140;"0.59";"postsynaptic density, extracellular vesicular exosome, cell surface, nucleus, plasma membrane, integral component of membrane, Golgi-associated vesicle"
"262";262;"O14713";"O14713-1";"ITBP1_HUMAN";"9270";"ITGB1BP1";"Integrin beta-1-binding protein 1";"ITGB1BP1,ICAP1";NA;0;2;1;4;3;4;"3.5";"0.71";"0.2";7;5;12;"6";"1.41";"0.24";"0.24";"0.18";"0.24";"0.21";"0.04";"0.2";4;12;"0.24";"cytoskeleton, lamellipodium, plasma membrane, ruffle, perinuclear region of cytoplasm, cytosol, nucleus"
"265";265;"O14727";"O14727-6";"APAF_HUMAN";"317";"APAF1";"Apoptotic protease-activating factor 1";"APAF1,KIAA0413";NA;0;1;1;10;11;11;"10.5";"0.71";"0.07";14;14;28;"14";"0";"0";"0.34";"0.37";"0.37";"0.35";"0.02";"0.05";11;28;"0.37";"nucleus, apoptosome, extracellular vesicular exosome, Golgi apparatus"
"266";266;"O14727";"O14727-4";"APAF_HUMAN";"317";"APAF1";"Apoptotic protease-activating factor 1";"APAF1,KIAA0413";NA;0;5;2;24;24;25;"24";"0";"0";34;31;65;"32.5";"2.12";"0.07";"0.22";"0.23";"0.23";"0.22";"0";"0.01";25;65;"0.23";"nucleus, apoptosome, extracellular vesicular exosome, Golgi apparatus"
"270";270;"O14735";"O14735-1";"CDIPT_HUMAN";"10423";"CDIPT";"CDP-diacylglycerol--inositol 3-phosphatidyltransferase";"CDIPT,PIS1,PIS";NA;0;1;1;2;2;2;"2";"0";"0";3;2;5;"2.5";"0.71";"0.28";"0.08";"0.08";"0.08";"0.08";"0";"0";2;5;"0.08";"plasma membrane, integral component of membrane, endoplasmic reticulum membrane, Golgi membrane"
"271";271;"O14737";"O14737";"PDCD5_HUMAN";"9141";"PDCD5";"Programmed cell death protein 5";"PDCD5,TFAR19";NA;0;1;1;6;7;7;"6.5";"0.71";"0.11";13;14;27;"13.5";"0.71";"0.05";"0.48";"0.52";"0.52";"0.5";"0.03";"0.06";7;27;"0.52";"cytoplasm, nucleus, extracellular vesicular exosome"
"273";273;"O14745";"O14745";"NHRF1_HUMAN";"9368";"SLC9A3R1";"Na(+)/H(+) exchange regulatory cofactor NHE-RF1";"SLC9A3R1,NHERF1,NHERF";NA;0;1;1;20;20;22;"20";"0";"0";32;34;66;"33";"1.41";"0.04";"0.55";"0.59";"0.63";"0.57";"0.03";"0.05";22;66;"0.63";"actin cytoskeleton, sperm midpiece, brush border membrane, extracellular vesicular exosome, endomembrane system, ruffle, centrosome, membrane raft, apical plasma membrane, cytoplasm, intracellular membrane-bounded organelle, filopodium, microvillus membrane"
"274";274;"O14757";"O14757";"CHK1_HUMAN";"1111";"CHEK1";"Serine/threonine-protein kinase Chk1";"CHEK1,CHK1";NA;0;1;1;17;18;18;"17.5";"0.71";"0.04";25;25;50;"25";"0";"0";"0.41";"0.41";"0.41";"0.41";"0";"0";18;50;"0.41";"extracellular space, condensed nuclear chromosome, chromatin, nucleoplasm, centrosome, replication fork, cytosol"
"275";275;"O14763";"O14763-1";"TR10B_HUMAN";"8795";"TNFRSF10B";"Tumor necrosis factor receptor superfamily member 10B";"TNFRSF10B,ZTNFR9,DR5,TRAILR2,TRICK2,KILLER";NA;0;2;2;7;6;7;"6.5";"0.71";"0.11";7;6;13;"6.5";"0.71";"0.11";"0.18";"0.18";"0.18";"0.18";"0";"0.01";7;13;"0.18";"plasma membrane, integral component of membrane"
"278";278;"O14773";"O14773-1";"TPP1_HUMAN";"1200";"TPP1";"Tripeptidyl-peptidase 1";"TPP1,CLN2";NA;0;2;1;11;9;11;"10";"1.41";"0.14";30;30;60;"30";"0";"0";"0.31";"0.23";"0.31";"0.27";"0.06";"0.2";11;60;"0.31";"melanosome, lysosomal lumen, extracellular vesicular exosome, mitochondrion"
"279";279;"O14775";"O14775-1";"GBB5_HUMAN";"10681";"GNB5";"Guanine nucleotide-binding protein subunit beta-5";"GNB5";NA;0;3;3;1;1;1;"1";"0";"0";1;1;2;"1";"0";"0";"0.05";"0.05";"0.05";"0.05";"0";"0";1;2;"0.05";"nucleus, plasma membrane"
"283";283;"O14786";"O14786-1";"NRP1_HUMAN";"8829";"NRP1";"Neuropilin-1";"NRP1,NRP,VEGF165R";NA;0;2;1;6;7;9;"6.5";"0.71";"0.11";6;7;13;"6.5";"0.71";"0.11";"0.11";"0.13";"0.17";"0.12";"0.01";"0.1";9;13;"0.17";"extracellular region, cytosol, cell surface, neuronal cell body, neurofilament, plasma membrane, axon, cytoplasmic vesicle, growth cone, semaphorin receptor complex, integral component of membrane"
"286";286;"O14795";"O14795";"UN13B_HUMAN";"10497";"UNC13B";"Protein unc-13 homolog B";"UNC13B,UNC13";NA;0;1;1;13;15;17;"14";"1.41";"0.1";15;16;31;"15.5";"0.71";"0.05";"0.12";"0.12";"0.15";"0.12";"0";"0";17;31;"0.15";"cell junction, cytosol, plasma membrane, Golgi apparatus, neuromuscular junction"
"288";288;"O14817";"O14817";"TSN4_HUMAN";"7106";"TSPAN4";"Tetraspanin-4";"TSPAN4,NAG2,TM4SF7";NA;0;1;1;2;0;2;"1";"1.41";"1.41";2;0;2;"1";"1.41";"1.41";"0.06";"0";"0.06";"0.03";"0.04";"1.41";2;2;"0.06";"integral component of plasma membrane"
"289";289;"O14818";"O14818-1";"PSA7_HUMAN";"5688";"PSMA7";"Proteasome subunit alpha type-7";"PSMA7,HSPC";NA;0;5;1;15;13;15;"14";"1.41";"0.1";56;55;111;"55.5";"0.71";"0.01";"0.65";"0.56";"0.65";"0.61";"0.06";"0.1";15;111;"0.65";"extracellular vesicular exosome, cytosol, proteasome core complex, nucleoplasm, proteasome core complex, alpha-subunit complex"
"290";290;"O14828";"O14828-1";"SCAM3_HUMAN";"10067";"SCAMP3";"Secretory carrier-associated membrane protein 3";"SCAMP3,C1orf3,PROPIN1";NA;0;2;1;10;9;10;"9.5";"0.71";"0.07";18;16;34;"17";"1.41";"0.08";"0.43";"0.39";"0.43";"0.41";"0.03";"0.07";10;34;"0.43";"extracellular vesicular exosome, integral component of membrane, Golgi membrane"
"297";297;"O14907";"O14907";"TX1B3_HUMAN";"30851";"TAX1BP3";"Tax1-binding protein 3";"TAX1BP3,TIP1";NA;0;1;1;2;2;2;"2";"0";"0";3;3;6;"3";"0";"0";"0.28";"0.28";"0.28";"0.28";"0";"0";2;6;"0.28";"nucleus, extracellular vesicular exosome, cytoplasm, plasma membrane"
"298";298;"O14908";"O14908";"GIPC1_HUMAN";"10755";"GIPC1";"PDZ domain-containing protein GIPC1";"GIPC1,RGS19IP1,GIPC,C19orf3";NA;0;1;1;14;12;14;"13";"1.41";"0.11";26;25;51;"25.5";"0.71";"0.03";"0.41";"0.39";"0.41";"0.4";"0.01";"0.03";14;51;"0.41";"dendritic shaft, synaptic vesicle, endocytic vesicle, cell cortex, vesicle membrane, dendritic spine, cytosol, brush border, extracellular vesicular exosome"
"299";299;"O14910";"O14910";"LIN7A_HUMAN";"8825";"LIN7A";"Protein lin-7 homolog A";"LIN7A,MALS1,VELI1";NA;0;1;1;5;4;5;"4.5";"0.71";"0.16";7;5;12;"6";"1.41";"0.24";"0.29";"0.2";"0.29";"0.24";"0.06";"0.26";5;12;"0.29";"basolateral plasma membrane, postsynaptic density, postsynaptic membrane, tight junction, neuron projection, extracellular vesicular exosome"
"300";300;"O14920";"O14920-1";"IKKB_HUMAN";"3551";"IKBKB";"Inhibitor of nuclear factor kappa-B kinase subunit beta";"IKBKB,IKKB";NA;0;4;1;28;30;32;"29";"1.41";"0.05";41;42;83;"41.5";"0.71";"0.02";"0.44";"0.4";"0.47";"0.42";"0.03";"0.07";32;83;"0.47";"cytoplasmic side of plasma membrane, IkappaB kinase complex, membrane raft, nucleus, CD40 receptor complex"
"301";301;"O14924";"O14924-1";"RGS12_HUMAN";"6002";"RGS12";"Regulator of G-protein signaling 12";"RGS12";NA;0;2;2;1;3;3;"2";"1.41";"0.71";1;3;4;"2";"1.41";"0.71";"0.01";"0.02";"0.02";"0.01";"0.01";"0.57";3;4;"0.02";"nuclear matrix, cytoplasm, plasma membrane, condensed nuclear chromosome"
"305";305;"O14936";"O14936-1";"CSKP_HUMAN";"8573";"CASK";"Peripheral plasma membrane protein CASK";"CASK,LIN2";NA;0;6;5;22;23;25;"22.5";"0.71";"0.03";29;27;56;"28";"1.41";"0.05";"0.24";"0.28";"0.29";"0.26";"0.02";"0.09";25;56;"0.29";"cell-cell junction, cytoplasm, basement membrane, ciliary membrane, basolateral plasma membrane, actin cytoskeleton, cytosol, presynaptic membrane, nuclear lamina, nucleolus, nuclear matrix"
"306";306;"O14939";"O14939-1";"PLD2_HUMAN";"5338";"PLD2";"Phospholipase D2";"PLD2";NA;0;3;2;4;4;5;"4";"0";"0";4;4;8;"4";"0";"0";"0.05";"0.05";"0.06";"0.05";"0.01";"0.12";5;8;"0.06";"brush border membrane, endoplasmic reticulum membrane, plasma membrane"
"309";309;"O14950";"O14950";"ML12B_HUMAN";"103910";"MYL12B";"Myosin regulatory light chain 12B";"MYL12B,MYLC2B,MRLC2";NA;0;4;2;9;8;9;"8.5";"0.71";"0.08";55;68;123;"61.5";"9.19";"0.15";"0.51";"0.51";"0.51";"0.51";"0";"0";9;123;"0.51";"myosin II complex, apical part of cell, Z disc, stress fiber, cytosol, extracellular vesicular exosome"
"310";310;"O14964";"O14964-1";"HGS_HUMAN";"9146";"HGS";"Hepatocyte growth factor-regulated tyrosine kinase substrate";"HGS,HRS";NA;0;2;1;17;15;18;"16";"1.41";"0.09";28;19;47;"23.5";"6.36";"0.27";"0.23";"0.18";"0.23";"0.2";"0.03";"0.17";18;47;"0.23";"early endosome, cytosol, secretory granule, early endosome membrane, multivesicular body membrane, extracellular vesicular exosome"
"312";312;"O14966";"O14966-1";"RAB7L_HUMAN";"8934";"RAB7L1";"Ras-related protein Rab-7L1";"RAB7L1";NA;0;1;1;3;3;3;"3";"0";"0";4;3;7;"3.5";"0.71";"0.2";"0.19";"0.19";"0.19";"0.19";"0";"0";3;7;"0.19";"extracellular vesicular exosome, plasma membrane"
"317";317;"O14975";"O14975-1";"S27A2_HUMAN";"11001";"SLC27A2";"Very long-chain acyl-CoA synthetase";"SLC27A2,VLACS,FATP2,FACVL1,ACSVL1";NA;0;2;1;22;21;23;"21.5";"0.71";"0.03";34;35;69;"34.5";"0.71";"0.02";"0.35";"0.33";"0.36";"0.34";"0.01";"0.02";23;69;"0.36";"endoplasmic reticulum lumen, extracellular vesicular exosome, mitochondrion, integral component of endoplasmic reticulum membrane, integral component of peroxisomal membrane"
"328";328;"O15018";"O15018-1";"PDZD2_HUMAN";"23037";"PDZD2";"PDZ domain-containing protein 2";"PDZD2,PDZK3,KIAA0300,AIPC";NA;0;1;1;4;0;4;"2";"2.83";"1.41";4;0;4;"2";"2.83";"1.41";"0.01";"0";"0.01";"0.01";"0.01";"1.41";4;4;"0.01";"extracellular region, nucleus, cell-cell junction, endoplasmic reticulum"
"329";329;"O15020";"O15020-1";"SPTN2_HUMAN";"6712";"SPTBN2";"Spectrin beta chain, non-erythrocytic 2";"SPTBN2,SCA5,KIAA0302";NA;0;2;1;43;43;52;"43";"0";"0";58;62;120;"60";"2.83";"0.05";"0.21";"0.22";"0.26";"0.22";"0";"0.01";52;120;"0.26";"cytosol, neuronal cell body, extracellular space, spectrin"
"332";332;"O15031";"O15031";"PLXB2_HUMAN";"23654";"PLXNB2";"Plexin-B2";"PLXNB2,KIAA0315";NA;0;1;1;31;29;35;"30";"1.41";"0.05";45;41;86;"43";"2.83";"0.07";"0.2";"0.19";"0.22";"0.2";"0.01";"0.06";35;86;"0.22";"integral component of plasma membrane, intracellular, extracellular vesicular exosome"
"339";339;"O15066";"O15066";"KIF3B_HUMAN";"9371";"KIF3B";"Kinesin-like protein KIF3B";"KIF3B,KIAA0359";NA;0;3;1;9;11;11;"10";"1.41";"0.14";11;13;24;"12";"1.41";"0.12";"0.13";"0.16";"0.16";"0.15";"0.03";"0.17";11;24;"0.16";"kinesin II complex, centrosome, midbody, spindle microtubule, plus-end kinesin complex, cytosol, extracellular vesicular exosome"
"340";340;"O15067";"O15067";"PUR4_HUMAN";"5198";"PFAS";"Phosphoribosylformylglycinamidine synthase";"PFAS,KIAA0361";NA;0;1;1;41;39;42;"40";"1.41";"0.04";136;119;255;"127.5";"12.02";"0.09";"0.41";"0.38";"0.42";"0.4";"0.02";"0.06";42;255;"0.42";"extracellular vesicular exosome, cytosol"
"341";341;"O15068";"O15068-1";"MCF2L_HUMAN";"23263";"MCF2L";"Guanine nucleotide exchange factor DBS";"MCF2L,KIAA0362";NA;0;8;8;0;6;6;"3";"4.24";"1.41";0;6;6;"3";"4.24";"1.41";"0";"0.08";"0.08";"0.04";"0.06";"1.41";6;6;"0.08";"extracellular space, cytosol, plasma membrane, lamellipodium"
"348";348;"O15111";"O15111";"IKKA_HUMAN";"1147";"CHUK";"Inhibitor of nuclear factor kappa-B kinase subunit alpha";"CHUK,TCF16,IKKA";NA;0;1;1;27;26;30;"26.5";"0.71";"0.03";39;41;80;"40";"1.41";"0.04";"0.37";"0.35";"0.4";"0.36";"0.02";"0.05";30;80;"0.4";"nucleus, cytoplasmic side of plasma membrane, CD40 receptor complex, IkappaB kinase complex"
"351";351;"O15118";"O15118";"NPC1_HUMAN";"4864";"NPC1";"Niemann-Pick C1 protein";"NPC1";NA;0;1;1;13;14;15;"13.5";"0.71";"0.05";20;19;39;"19.5";"0.71";"0.04";"0.12";"0.12";"0.13";"0.12";"0";"0";15;39;"0.13";"Golgi apparatus, late endosome membrane, membrane raft, lysosomal membrane, perinuclear region of cytoplasm, nuclear envelope, endoplasmic reticulum, extracellular vesicular exosome, integral component of plasma membrane"
"354";354;"O15121";"O15121";"DEGS1_HUMAN";"8560";"DEGS1";"Sphingolipid delta(4)-desaturase DES1";"DEGS1,MLD,DES1";NA;0;1;1;3;3;3;"3";"0";"0";5;5;10;"5";"0";"0";"0.15";"0.15";"0.15";"0.15";"0";"0";3;10;"0.15";"endoplasmic reticulum membrane, integral component of plasma membrane, mitochondrion"
"356";356;"O15127";"O15127";"SCAM2_HUMAN";"10066";"SCAMP2";"Secretory carrier-associated membrane protein 2";"SCAMP2";NA;0;1;1;5;5;5;"5";"0";"0";13;13;26;"13";"0";"0";"0.16";"0.16";"0.16";"0.16";"0";"0";5;26;"0.16";"extracellular vesicular exosome, nucleus, Golgi apparatus, transport vesicle, recycling endosome membrane, integral component of membrane, trans-Golgi network membrane"
"358";358;"O15143";"O15143";"ARC1B_HUMAN";"10095";"ARPC1B";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B,ARC41";NA;0;1;1;17;19;19;"18";"1.41";"0.08";50;60;110;"55";"7.07";"0.13";"0.5";"0.57";"0.57";"0.53";"0.05";"0.09";19;110;"0.57";"Arp2/3 protein complex, cytoplasm, extracellular vesicular exosome"
"359";359;"O15144";"O15144";"ARPC2_HUMAN";"10109";"ARPC2";"Actin-related protein 2/3 complex subunit 2";"ARPC2,ARC34";NA;0;1;1;20;18;20;"19";"1.41";"0.07";66;64;130;"65";"1.41";"0.02";"0.67";"0.55";"0.67";"0.61";"0.08";"0.13";20;130;"0.67";"focal adhesion, extracellular vesicular exosome, endosome, cell leading edge, cell projection, cytosol, Arp2/3 protein complex, plasma membrane, Golgi apparatus"
"360";360;"O15145";"O15145";"ARPC3_HUMAN";"10094";"ARPC3";"Actin-related protein 2/3 complex subunit 3";"ARPC3,ARC21";NA;0;1;1;9;7;9;"8";"1.41";"0.18";32;33;65;"32.5";"0.71";"0.02";"0.46";"0.36";"0.46";"0.41";"0.07";"0.17";9;65;"0.46";"extracellular vesicular exosome, lamellipodium, cytosol, Arp2/3 protein complex"
"361";361;"O15146";"O15146-1";"MUSK_HUMAN";"4593";"MUSK";"Muscle, skeletal receptor tyrosine-protein kinase";"MUSK";NA;0;3;3;2;0;2;"1";"1.41";"1.41";2;0;2;"1";"1.41";"1.41";"0.05";"0";"0.05";"0.03";"0.04";"1.41";2;2;"0.05";"cell junction, neuromuscular junction, postsynaptic membrane, receptor complex, integral component of plasma membrane"
"366";366;"O15162";"O15162";"PLS1_HUMAN";"5359";"PLSCR1";"Phospholipid scramblase 1";"PLSCR1";NA;0;1;1;5;5;5;"5";"0";"0";6;7;13;"6.5";"0.71";"0.11";"0.15";"0.15";"0.15";"0.15";"0";"0";5;13;"0.15";"nucleolus, cytosol, integral component of plasma membrane, Golgi apparatus, extracellular vesicular exosome, membrane raft, extracellular matrix"
"368";368;"O15169";"O15169-1";"AXIN1_HUMAN";"8312";"AXIN1";"Axin-1";"AXIN1,AXIN";NA;0;2;2;3;3;3;"3";"0";"0";4;4;8;"4";"0";"0";"0.05";"0.05";"0.05";"0.05";"0";"0";3;8;"0.05";"cytoplasmic membrane-bounded vesicle, Golgi apparatus, perinuclear region of cytoplasm, lateral plasma membrane, cytosol, nucleus, cell cortex, postsynaptic density, beta-catenin destruction complex, cytoplasmic microtubule"
"371";371;"O15194";"O15194-1";"CTDSL_HUMAN";"10217";"CTDSPL";"CTD small phosphatase-like protein";"CTDSPL,NIFL,C3orf8,NIF1,YA22,SCP3";NA;0;2;2;2;2;3;"2";"0";"0";2;2;4;"2";"0";"0";"0.08";"0.06";"0.1";"0.07";"0.01";"0.15";3;4;"0.1";"nucleus, extracellular vesicular exosome"
"377";377;"O15230";"O15230";"LAMA5_HUMAN";"3911";"LAMA5";"Laminin subunit alpha-5";"LAMA5,KIAA1907,KIAA0533";NA;0;1;1;0;4;4;"2";"2.83";"1.41";0;4;4;"2";"2.83";"1.41";"0";"0.02";"0.02";"0.01";"0.01";"1.41";4;4;"0.02";"laminin-10 complex, laminin-5 complex, laminin-1 complex, extracellular space, extracellular vesicular exosome, laminin-11 complex"
"389";389;"O15294";"O15294-1";"OGT1_HUMAN";"8473";"OGT";"UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit";"OGT";NA;0;4;1;39;39;40;"39";"0";"0";82;86;168;"84";"2.83";"0.03";"0.45";"0.46";"0.46";"0.45";"0.01";"0.02";40;168;"0.46";"histone acetyltransferase complex, centrosome, cytosol, plasma membrane, MLL5-L complex, mitochondrion"
"399";399;"O15357";"O15357-1";"SHIP2_HUMAN";"3636";"INPPL1";"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2";"INPPL1,SHIP2";NA;0;2;1;32;31;37;"31.5";"0.71";"0.02";40;35;75;"37.5";"3.54";"0.09";"0.29";"0.3";"0.34";"0.29";"0";"0.01";37;75;"0.34";"lamellipodium, Golgi apparatus, cytoskeleton, filopodium, cytosol, plasma membrane"
"402";402;"O15372";"O15372";"EIF3H_HUMAN";"8667";"EIF3H";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H,EIF3S3";NA;0;1;1;17;16;17;"16.5";"0.71";"0.04";64;60;124;"62";"2.83";"0.05";"0.46";"0.43";"0.46";"0.45";"0.02";"0.05";17;124;"0.46";"cytosol, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, extracellular vesicular exosome, eukaryotic translation initiation factor 3 complex"
"406";406;"O15391";"O15391";"TYY2_HUMAN";"404281";"YY2";"Transcription factor YY2";"YY2,ZNF631";NA;0;1;1;4;4;4;"4";"0";"0";13;14;27;"13.5";"0.71";"0.05";"0.14";"0.14";"0.14";"0.14";"0";"0";4;27;"0.14";"plasma membrane, nucleus"
"409";409;"O15400";"O15400-1";"STX7_HUMAN";"8417";"STX7";"Syntaxin-7";"STX7";NA;0;2;2;7;6;7;"6.5";"0.71";"0.11";14;13;27;"13.5";"0.71";"0.05";"0.31";"0.29";"0.31";"0.3";"0.02";"0.06";7;27;"0.31";"integral component of membrane, extracellular vesicular exosome, lysosomal membrane, perinuclear region of cytoplasm, SNARE complex, early endosome membrane"
"411";411;"O15427";"O15427";"MOT4_HUMAN";"9123";"SLC16A3";"Monocarboxylate transporter 4";"SLC16A3,MCT4";NA;0;1;1;6;6;6;"6";"0";"0";13;11;24;"12";"1.41";"0.12";"0.13";"0.13";"0.13";"0.13";"0";"0";6;24;"0.13";"actin cytoskeleton, nuclear membrane, integral component of plasma membrane"
"412";412;"O15431";"O15431";"COPT1_HUMAN";"1317";"SLC31A1";"High affinity copper uptake protein 1";"SLC31A1,COPT1,CTR1";NA;0;1;1;1;2;2;"1.5";"0.71";"0.47";3;6;9;"4.5";"2.12";"0.47";"0.1";"0.16";"0.16";"0.13";"0.04";"0.34";2;9;"0.16";"integral component of plasma membrane"
"413";413;"O15438";"O15438-1";"MRP3_HUMAN";"8714";"ABCC3";"Canalicular multispecific organic anion transporter 2";"ABCC3,MRP3,MLP2,CMOAT2";NA;0;2;1;4;3;4;"3.5";"0.71";"0.2";5;3;8;"4";"1.41";"0.35";"0.02";"0.02";"0.02";"0.02";"0";"0.19";4;8;"0.02";"integral component of plasma membrane"
"414";414;"O15439";"O15439-1";"MRP4_HUMAN";"10257";"ABCC4";"Multidrug resistance-associated protein 4";"ABCC4,MRP4";NA;0;3;1;29;32;35;"30.5";"2.12";"0.07";38;38;76;"38";"0";"0";"0.25";"0.26";"0.29";"0.26";"0";"0.01";35;76;"0.29";"platelet dense granule membrane, plasma membrane, basolateral plasma membrane, integral component of membrane"
"416";416;"O15455";"O15455";"TLR3_HUMAN";"7098";"TLR3";"Toll-like receptor 3";"TLR3";NA;0;1;1;2;0;2;"1";"1.41";"1.41";2;0;2;"1";"1.41";"1.41";"0.02";"0";"0.02";"0.01";"0.01";"1.41";2;2;"0.02";"integral component of plasma membrane, Golgi membrane, integral component of membrane, endoplasmic reticulum membrane, cell surface, lysosomal membrane, endolysosome membrane"
"418";418;"O15484";"O15484";"CAN5_HUMAN";"726";"CAPN5";"Calpain-5";"CAPN5,NCL3";NA;0;1;1;5;2;5;"3.5";"2.12";"0.61";6;3;9;"4.5";"2.12";"0.47";"0.1";"0.03";"0.1";"0.06";"0.05";"0.78";5;9;"0.1";"intracellular, extracellular vesicular exosome, cell surface"
"420";420;"O15498";"O15498";"YKT6_HUMAN";"10652";"YKT6";"Synaptobrevin homolog YKT6";"YKT6";NA;0;1;1;10;8;11;"9";"1.41";"0.16";16;14;30;"15";"1.41";"0.09";"0.61";"0.47";"0.61";"0.54";"0.09";"0.17";11;30;"0.61";"cytosol, cytoplasmic vesicle membrane, integral component of plasma membrane, mitochondrion, endosome, Golgi apparatus, endoplasmic reticulum, Golgi membrane, SNARE complex"
"423";423;"O15511";"O15511-1";"ARPC5_HUMAN";"10092";"ARPC5";"Actin-related protein 2/3 complex subunit 5";"ARPC5,ARC16";NA;0;2;1;8;7;9;"7.5";"0.71";"0.09";13;11;24;"12";"1.41";"0.12";"0.66";"0.59";"0.7";"0.62";"0.05";"0.08";9;24;"0.7";"Arp2/3 protein complex, cytosol, cell projection, extracellular vesicular exosome"
"429";429;"O15530";"O15530-1";"PDPK1_HUMAN";"5170";"PDPK1";"3-phosphoinositide-dependent protein kinase 1";"PDPK1,PDK1";NA;0;5;2;15;11;17;"13";"2.83";"0.22";18;12;30;"15";"4.24";"0.28";"0.29";"0.22";"0.33";"0.25";"0.05";"0.19";17;30;"0.33";"nucleoplasm, focal adhesion, cytoplasmic membrane-bounded vesicle, plasma membrane, cytosol"
"433";433;"O15554";"O15554";"KCNN4_HUMAN";"3783";"KCNN4";"Intermediate conductance calcium-activated potassium channel protein 4";"KCNN4,IK1,KCA4,SK4,IKCA1";NA;0;1;1;6;8;8;"7";"1.41";"0.2";8;10;18;"9";"1.41";"0.16";"0.15";"0.21";"0.21";"0.18";"0.04";"0.23";8;18;"0.21";"voltage-gated potassium channel complex, membrane raft, basolateral plasma membrane, apical plasma membrane, neuronal cell body"
"436";436;"O43150";"O43150-1";"ASAP2_HUMAN";"8853";"ASAP2";"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2";"ASAP2,KIAA0400,DDEF2";NA;0;2;2;6;4;6;"5";"1.41";"0.28";11;6;17;"8.5";"3.54";"0.42";"0.05";"0.04";"0.05";"0.05";"0.01";"0.12";6;17;"0.05";"Golgi cisterna membrane, plasma membrane"
"439";439;"O43157";"O43157-1";"PLXB1_HUMAN";"5364";"PLXNB1";"Plexin-B1";"PLXNB1,KIAA0407,PLXN5,SEP";NA;0;2;2;6;9;11;"7.5";"2.12";"0.28";6;9;15;"7.5";"2.12";"0.28";"0.03";"0.05";"0.06";"0.04";"0.01";"0.31";11;15;"0.06";"extracellular region, intracellular, integral component of plasma membrane, semaphorin receptor complex"
"440";440;"O43159";"O43159";"RRP8_HUMAN";"23378";"RRP8";"Ribosomal RNA-processing protein 8";"RRP8,KIAA0409,NML";NA;0;1;1;14;13;14;"13.5";"0.71";"0.05";23;22;45;"22.5";"0.71";"0.03";"0.4";"0.39";"0.4";"0.39";"0.01";"0.03";14;45;"0.4";"plasma membrane, rDNA heterochromatin, cytoplasm, chromatin silencing complex, nucleolus"
"441";441;"O43164";"O43164-1";"PJA2_HUMAN";"9867";"PJA2";"E3 ubiquitin-protein ligase Praja-2";"PJA2,RNF131,KIAA0438";NA;0;2;2;8;6;8;"7";"1.41";"0.2";11;7;18;"9";"2.83";"0.31";"0.19";"0.13";"0.19";"0.16";"0.04";"0.25";8;18;"0.19";"postsynaptic density, plasma membrane, postsynaptic membrane, cell junction, endoplasmic reticulum membrane, cytoplasm, Golgi membrane"
